x,y
-2.646663317341543253e-01,-1.089476072275874508e+00
-1.384058861429029230e+00,-1.715394993649765054e-01
-1.209116022505054344e+00,4.695411842016609105e-01
1.248724604804115623e+00,1.354715947564512635e-01
9.218844002337889254e-01,2.259987111370461488e+00
-5.604242153670296878e-01,-6.101406564321225634e-01
2.529224515307870735e-01,-7.537455555454710687e-01
-2.245336542417057935e+00,-2.129757603605265448e+00
-4.224183802160667578e-01,2.267270225191326261e-01
-5.303517154601662398e-01,-3.301037565144257502e-01
4.961747875818917075e-01,9.178689059003852790e-01
-2.285024020073882500e+00,-1.081643747476508599e+00
-1.196366838470974248e+00,-1.653612039936441125e+00
9.413830803884888354e-01,8.288758387792295457e-01
-5.391791999080451925e-01,4.394954463738577344e-01
8.297506867584486523e-01,2.197822082486629025e+00
3.322335790238598041e-01,-4.958045726024965655e-02
1.645328075624861164e+00,1.651792711004916037e-01
-7.690549448478898320e-01,-7.034773614057415747e-01
1.732952938165355228e+00,5.745992699448746466e-01
-4.460741519246723130e-01,1.046744082658314090e+00
9.044115278223939791e-01,-4.400404014063517555e-01
3.417649667225427512e-01,9.783359031366421765e-02
2.436450146964044716e+00,2.387887342018801817e+00
-1.047988284587310914e-01,5.179070747775972317e-01
-2.157571803712707847e+00,-1.149941408855569946e+00
7.353547863468232748e-01,-2.543520739776179984e-01
-2.328166269048365322e+00,-2.275199691457372442e+00
-1.669670490100066051e-03,-2.324780438652856995e-02
-1.126124572891215453e-01,-2.417323350178441632e-01
7.576616507406801482e-01,2.685361440538481248e-01
2.723223612578293817e-01,-2.137315303071161410e-01
5.899916062201002731e-01,6.851856958120450258e-01
-4.445475556840807196e-01,9.006646683775016982e-01
1.882962775385462750e+00,2.859236182907631374e+00
-1.872841777625022242e-01,-2.041780779181985750e+00
4.726225073614017114e-01,1.403956969662097654e-01
1.606766928903374803e+00,9.110665339086090331e-01
2.096900685605742054e-01,1.776968399144141841e+00
-1.405552922770826996e+00,-2.682394709535703137e-01
-1.405558149536493828e-01,-1.150410419176955079e+00
2.502902313181943894e-01,6.880001454640973790e-01
7.742417516068855754e-01,1.411966934693323905e+00
3.825785318129703017e-01,4.732860978806377461e-02
-8.345825201520280512e-01,-4.372213343952487952e-01
-1.956100959932149108e-01,8.413260034723540892e-01
6.914776580202051104e-01,1.242387212776191019e+00
-3.920525160433588896e-01,-6.689192682429970782e-01
2.678127578977517742e-01,-8.512172438504133076e-01
-7.437841419429609413e-01,-9.091656404515466861e-01
-1.593504685306534755e-03,9.366688705129785353e-01
1.259867189099953322e+00,1.011081613948693335e-04
1.121275569853467990e+00,1.663307348353543880e+00
3.604830135394567203e-01,1.930018644514726711e+00
1.103455920081767294e+00,2.620812624225344667e+00
-1.454883419504070519e-01,-2.319911789335027119e-01
3.088913513434963787e-01,6.658895449300401559e-01
-4.597501004045039807e-01,5.270731027524537815e-01
-1.693853060806567168e-01,-3.495132377397012352e-02
3.506915067159906974e-01,2.997577924514181480e-01
4.895042842554233609e-01,-1.040116827325283211e+00
8.734558921471319293e-01,1.538251507934965900e+00
-7.054684450138525020e-02,-2.351065432261046917e-01
-1.719310751555599426e-01,1.389554532140398480e-01
8.308441893158904357e-01,1.347072800323390884e-01
2.623722862288178082e-01,-6.127109290041804490e-01
3.962661697788118498e-01,-1.126570900802151831e+00
-1.131856805129068722e+00,-7.091527664607384374e-01
-6.684727242704792127e-01,2.104728121208501446e-01
-1.943285712987091962e+00,-1.036005545098523495e+00
2.218772183726895886e+00,1.074283751701289535e+00
5.471864529577519232e-01,5.705229977080655823e-01
-1.384458034817547811e-01,-7.875708036661767109e-01
1.707682446336547255e-01,-5.048667896804068800e-01
1.176036117547936133e+00,-8.211981599487981620e-02
1.430256651416333291e+00,2.212731864970869378e-01
4.016446362024389538e-01,1.344050508662493204e+00
-3.280688666691363720e-01,2.026405229221929005e+00
-5.238981718107281749e-01,-3.585757168990091337e-01
4.545504390657692517e-01,1.080926637335043017e+00
4.603016760613143354e-01,5.694305718489852675e-01
-2.246849929146848890e+00,-2.332768515425300393e+00
-7.134712555694717739e-01,-1.342411370272181825e+00
-7.606314619036423919e-01,8.232207764486920709e-01
-2.497752519339254962e-01,1.371328020627115230e+00
-3.814897863572502268e-01,-8.845753647511391815e-01
-1.000582249847089988e+00,-1.307031053729847958e-01
1.460621048834343239e-01,-1.258389580566816157e+00
7.610649606028813130e-01,5.396775626864169784e-01
-2.109977174656934573e-01,3.441482832785850987e-01
4.382435447867261136e-01,-7.561247589919336543e-01
-6.131215424088681809e-01,-6.699704939006817517e-02
-9.840316321138802280e-01,-1.735196366920893976e-02
-9.512342244194786911e-01,-5.405310759920691766e-01
8.055624312671211262e-01,-6.800461908581848514e-01
-4.771429742584304412e-01,-2.913814596238596955e-01
3.280718246543697370e-01,-8.138868176297325840e-01
4.959420905994017525e-01,1.437910638899496885e+00
-2.693971720541625814e-01,3.401555823613175433e-01
-3.863607574813796020e-02,-1.202137548395694130e-02
3.929400023956549859e+00,5.554555247826075792e+00
4.685619320985090042e+00,4.852105390309867872e+00
5.221698709070566657e+00,4.469129167460794250e+00
4.568252199895014520e+00,4.952999178441507944e+00
3.465179643185657632e+00,5.640213054594838127e+00
4.941970061953615101e+00,4.618298879772209986e+00
3.845157781691193044e+00,6.351396994820381003e+00
3.363616229545421277e+00,5.150823397417606309e+00
5.213543083481551932e+00,5.676087712141884900e+00
5.461480162495432111e+00,5.604000212569919093e+00
6.152658658963991556e+00,5.256688781221589224e+00
2.827676544013521198e+00,6.809484895546820127e+00
6.112508739541938851e+00,5.340875737575761839e+00
3.370620381110273733e+00,6.106519591736457642e+00
5.223000153510084509e+00,4.495215237629408556e+00
5.705002323444555046e+00,3.376345730071246720e+00
5.485712630430811032e+00,3.746489804465060303e+00
5.147145359872615344e+00,5.087069372663905575e+00
3.158050164273322302e+00,5.843595794987885839e+00
4.040557375292495479e+00,5.745453780481995842e+00
5.380246575207726423e+00,5.294572916958877329e+00
